Date,Price,Open,High,Low,Volume,Chg%
2025-12-31,135454,136526,136527,134866,59050,1.1
2025-12-30,133974,133185,134880,132853,36733,1.04
2025-12-29,132595,137628,138269,131695,90640,-3.77
2025-12-26,137789,136300,138300,136300,46771,1.24
2025-12-24,136104,136309,136500,135281,38763,0.22
2025-12-23,135799,134900,136888,134698,54815,0.86
2025-12-22,134638,132600,134688,132600,52738,1.67
2025-12-19,132427,132252,132575,131803,41184,-0.19
2025-12-18,132684,133117,133629,132090,50581,-0.32
2025-12-17,133115,132600,133490,132060,54875,0.37
2025-12-16,132627,132350,133399,131663,51610,0.1
2025-12-15,132491,131500,133633,131500,59083,0.64
2025-12-12,131645,130905,133282,130400,98046,0.57
2025-12-11,130905,128999,130988,128795,55011,1.87
2025-12-10,128500,129160,129163,128259,26343,-0.27
2025-12-09,128853,128893,129200,127833,41833,0.09
2025-12-08,128736,128900,129542,128301,34061,-0.36
2025-12-05,129206,128785,130200,128513,51597,0.24
2025-12-04,128894,129251,129389,128224,43318,-0.32
2025-12-03,129305,128999,130155,128999,55815,0.5
2025-12-02,128666,129325,129600,127912,60448,0.49
2025-12-01,128034,127279,128943,127279,25841,0.86
2025-11-28,126943,125899,127099,125625,50902,1.18
2025-11-27,125465,125360,125719,125087,26081,-0.17
2025-11-26,125674,125302,125800,124961,44486,0.61
2025-11-25,124916,124000,125162,124000,55048,1.05
2025-11-24,123614,122600,123783,122257,44401,-0.19
2025-11-21,123849,122361,124195,121500,76478,1.04
2025-11-20,122578,122904,123579,121901,70110,-0.27
2025-11-19,122904,122734,124280,122202,72005,0.26
2025-11-18,122591,122101,122945,120700,75507,-0.16
2025-11-17,122789,123189,123580,121961,66588,-0.54
2025-11-14,123454,127010,127096,121767,107420,-2.54
2025-11-13,126668,126541,127824,126150,80023,0.24
2025-11-12,126363,124154,126590,123620,76031,1.99
2025-11-11,123897,124299,125287,123401,58528,0.0
2025-11-10,123897,121799,124100,121799,64150,2.35
2025-11-07,121056,120751,121570,120523,55453,0.39
2025-11-06,120587,120547,121527,120132,53890,0.08
2025-11-05,120494,120290,120688,119730,25685,0.55
2025-11-04,119830,121126,121136,119215,73605,-1.31
2025-11-03,121415,121489,122100,121125,63899,0.17
2025-10-31,121209,121298,122294,120600,69402,0.8
2025-10-30,120251,117566,120499,117376,35582,0.69
2025-10-29,119424,117031,120730,117031,61325,0.61
2025-10-28,118699,118900,119500,116606,55062,-1.09
2025-10-27,120002,121759,121899,119270,69968,-2.08
2025-10-24,122549,122956,123258,120672,63689,-0.61
2025-10-23,123305,121360,123770,121360,53574,1.85
2025-10-22,121069,126100,126100,119753,69875,-4.94
2025-10-21,127365,128067,128067,126091,11229,-1.64
2025-10-20,129493,126573,129629,125524,93876,2.81
2025-10-17,125951,129999,131698,124873,149474,-2.16
2025-10-16,128735,127199,128989,126955,78786,1.65
2025-10-15,126641,125999,127150,125765,73228,0.71
2025-10-14,125753,124348,126472,123673,102840,1.44
2025-10-13,123964,121700,124149,121700,70600,2.68
2025-10-10,120727,119869,121669,119300,102118,0.72
2025-10-09,119869,122280,123108,119500,108115,-2.18
2025-10-08,122542,120759,122723,120759,76521,1.82
2025-10-07,120354,119759,120495,119160,76339,0.69
2025-10-06,119524,117979,119793,117979,66826,1.84
2025-10-03,117370,116433,117620,115900,51023,0.34
2025-10-01,116968,116999,117700,116306,61451,0.34
2025-09-30,116573,115878,117242,114841,88813,0.72
2025-09-29,115734,114499,115948,114499,53384,1.82
2025-09-26,113664,112643,113900,112500,10439,0.94
2025-09-25,112606,112673,113247,112100,35111,0.12
2025-09-24,112475,113490,114150,112374,38769,-1.09
2025-09-23,113715,112098,114090,111909,66088,1.47
2025-09-22,112070,109811,112140,109811,52835,2.15
2025-09-19,109715,109279,109786,108990,34441,0.7
2025-09-18,108951,109199,109694,108589,53408,-0.68
2025-09-17,109692,109820,109875,109063,38342,-0.32
2025-09-16,110040,110001,110550,109850,38451,-0.0
2025-09-15,110045,109210,110196,108800,39771,0.74
2025-09-12,109237,109222,109570,109050,30033,0.34
2025-09-11,108870,108601,109050,108455,38282,-0.01
2025-09-10,108884,108674,109250,108594,32594,-0.02
2025-09-09,108907,108600,109749,108500,62124,0.47
2025-09-08,108393,107391,108599,107010,44715,0.73
2025-09-05,107605,106661,107682,106410,50562,1.22
2025-09-04,106310,106501,106720,105500,44391,-0.72
2025-09-03,107080,105694,107136,105694,44257,1.31
2025-09-02,105695,104799,105788,104457,51598,1.72
2025-09-01,103904,103975,104948,102900,7715,0.72
2025-08-29,103164,101390,103422,101390,25604,1.66
2025-08-28,101481,100813,101520,100813,17097,0.51
2025-08-27,100967,100416,101048,100400,15905,0.43
2025-08-26,100531,100199,100650,100199,22638,0.41
2025-08-25,100118,99510,100275,99510,20910,0.26
2025-08-22,99857,98986,99975,98760,32483,0.83
2025-08-21,99035,98913,99185,98541,24372,0.13
2025-08-20,98903,98393,99035,98145,23007,0.55
2025-08-19,98359,99061,99400,98274,25645,-0.67
2025-08-18,99020,99539,99588,98951,19836,-0.34
2025-08-14,99362,99543,99932,99208,30352,-0.3
2025-08-13,99656,99528,100000,99528,26569,0.04
2025-08-12,99620,99848,99848,99225,36544,-0.17
2025-08-11,99785,100810,100810,99630,44871,-1.41
2025-08-08,101212,101200,101584,100885,44871,0.37
2025-08-07,100835,100711,101519,100380,54311,0.15
2025-08-06,100687,100602,100800,100155,36400,-0.08
2025-08-05,100765,100649,100990,99970,44304,0.16
2025-08-04,100607,99423,100725,99366,45987,1.38
2025-08-01,99240,98300,99463,97900,49842,0.9
2025-07-31,98358,98571,98848,98164,31223,0.36
2025-07-30,98003,98455,98750,97706,7875,-0.12
2025-07-29,98125,97577,98244,97523,19819,0.64
2025-07-28,97505,97905,98100,97255,19205,-0.34
2025-07-25,97842,98490,98590,97682,30927,-0.84
2025-07-24,98668,99010,99011,98235,30887,-0.64
2025-07-23,99304,100157,100421,99123,39711,-0.86
2025-07-22,100168,99350,100238,98960,41357,0.96
2025-07-21,99217,97965,99348,97965,39403,1.28
2025-07-18,97965,96968,98100,96967,26856,0.52
2025-07-17,97454,97482,97634,96838,33760,-0.31
2025-07-16,97758,97011,98239,96600,40993,0.56
2025-07-15,97214,97779,98045,97027,36738,-0.55
2025-07-14,97749,97799,98398,97501,30766,-0.01
2025-07-11,97759,96938,97993,96938,44005,1.12
